Palavra: como, Quantidade: 4
Palavra: web, Quantidade: 6
Palavra: funciona, Quantidade: 2
Palavra: uma, Quantidade: 4
Palavra: que, Quantidade: 3
Palavra: quando, Quantidade: 2
Palavra: você, Quantidade: 2
Palavra: página, Quantidade: 2
Palavra: navegador, Quantidade: 3
Palavra: seu, Quantidade: 4
Palavra: computador, Quantidade: 2
Palavra: telefone, Quantidade: 2
Palavra: essa, Quantidade: 2
Palavra: para, Quantidade: 3
Palavra: clientes, Quantidade: 3
Palavra: servidores, Quantidade: 3
Palavra: computadores, Quantidade: 2
Palavra: conectados, Quantidade: 2
Palavra: são, Quantidade: 3
Palavra: dispositivos, Quantidade: 2
Palavra: conectado, Quantidade: 2
Palavra: cliente, Quantidade: 2
